学号,individual_report
pjwqzwbj998,"【学业发展诊断建议书】
学号：pjwqzwbj998 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【跑步打卡】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【跑步打卡】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【跑步打卡】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj882,"【学业发展诊断建议书】
学号：pjwrqxbj882 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【student】上极其自律，但由于完全偏离了【本科生综合测评】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【本科生综合测评】，确保能顺利达成学业目标。"
pjwrqxbj884,"【学业发展诊断建议书】
学号：pjwrqxbj884 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj890,"【学业发展诊断建议书】
学号：pjwrqxbj890 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj898,"【学业发展诊断建议书】
学号：pjwrqxbj898 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.937）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.937。核心归因为【综合偏差】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj901,"【学业发展诊断建议书】
学号：pjwrqxbj901 | 诊断画像：学业游离型 | 演化轨迹：行为波动型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.991）。其在【特征标签】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.991。核心归因为【综合偏差】，当前学业薄弱点为【特征标签】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【特征标签】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj905,"【学业发展诊断建议书】
学号：pjwrqxbj905 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.935）。其在【成绩】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.935。核心归因为【综合偏差】，当前学业薄弱点为【成绩】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【成绩】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj911,"【学业发展诊断建议书】
学号：pjwrqxbj911 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.945）。其在【portrait】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.945。核心归因为【综合偏差】，当前学业薄弱点为【portrait】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【portrait】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj913,"【学业发展诊断建议书】
学号：pjwrqxbj913 | 诊断画像：学业游离型 | 演化轨迹：行为波动型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.935）。其在【选课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.935。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【选课】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj916,"【学业发展诊断建议书】
学号：pjwrqxbj916 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【体育课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【体育课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体育课】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj918,"【学业发展诊断建议书】
学号：pjwrqxbj918 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【体能】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【体能】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体能】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj919,"【学业发展诊断建议书】
学号：pjwrqxbj919 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【体能】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【体能】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体能】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj920,"【学业发展诊断建议书】
学号：pjwrqxbj920 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【讨论记录】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【讨论记录】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【讨论记录】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj923,"【学业发展诊断建议书】
学号：pjwrqxbj923 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.943）。其在【奖学金获奖】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.943。核心归因为【综合偏差】，当前学业薄弱点为【奖学金获奖】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【奖学金获奖】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj924,"【学业发展诊断建议书】
学号：pjwrqxbj924 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.936。虽在【基本信息】上极其自律，但由于完全偏离了【特征标签】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.936。核心归因为【综合偏差】，当前学业薄弱点为【特征标签】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【特征标签】，确保能顺利达成学业目标。"
pjwrqxbj925,"【学业发展诊断建议书】
学号：pjwrqxbj925 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.936。虽在【学科竞赛】上极其自律，但由于完全偏离了【体测数据】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.936。核心归因为【综合偏差】，当前学业薄弱点为【体测数据】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【体测数据】，确保能顺利达成学业目标。"
pjwrqxbj926,"【学业发展诊断建议书】
学号：pjwrqxbj926 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【奖学金获奖】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【奖学金获奖】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【奖学金获奖】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj929,"【学业发展诊断建议书】
学号：pjwrqxbj929 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【student】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【student】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【student】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj932,"【学业发展诊断建议书】
学号：pjwrqxbj932 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.954）。其在【体育课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.954。核心归因为【综合偏差】，当前学业薄弱点为【体育课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体育课】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj935,"【学业发展诊断建议书】
学号：pjwrqxbj935 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.886）。其在【体能】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.886。核心归因为【综合偏差】，当前学业薄弱点为【体能】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体能】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj938,"【学业发展诊断建议书】
学号：pjwrqxbj938 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.955）。其在【讨论记录】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.955。核心归因为【综合偏差】，当前学业薄弱点为【讨论记录】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【讨论记录】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj944,"【学业发展诊断建议书】
学号：pjwrqxbj944 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.891）。其在【讨论记录】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.891。核心归因为【综合偏差】，当前学业薄弱点为【讨论记录】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【讨论记录】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj945,"【学业发展诊断建议书】
学号：pjwrqxbj945 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.888）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.888。核心归因为【综合偏差】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj948,"【学业发展诊断建议书】
学号：pjwrqxbj948 | 诊断画像：学业游离型 | 演化轨迹：行为波动型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.887）。其在【讨论记录】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.887。核心归因为【综合偏差】，当前学业薄弱点为【讨论记录】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【讨论记录】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj949,"【学业发展诊断建议书】
学号：pjwrqxbj949 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.888）。其在【体能】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.888。核心归因为【综合偏差】，当前学业薄弱点为【体能】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体能】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj951,"【学业发展诊断建议书】
学号：pjwrqxbj951 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【学科竞赛】上极其自律，但由于完全偏离了【讨论记录】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【讨论记录】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【讨论记录】，确保能顺利达成学业目标。"
pjwrqxbj952,"【学业发展诊断建议书】
学号：pjwrqxbj952 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.882）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.882。核心归因为【综合偏差】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj955,"【学业发展诊断建议书】
学号：pjwrqxbj955 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【奖学金获奖】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【奖学金获奖】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【奖学金获奖】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj956,"【学业发展诊断建议书】
学号：pjwrqxbj956 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【体育课】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【体育课】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体育课】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj965,"【学业发展诊断建议书】
学号：pjwrqxbj965 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.895）。其在【体测数据】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.895。核心归因为【综合偏差】，当前学业薄弱点为【体测数据】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【体测数据】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj967,"【学业发展诊断建议书】
学号：pjwrqxbj967 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.895）。其在【本科生综合测评】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.895。核心归因为【综合偏差】，当前学业薄弱点为【本科生综合测评】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【本科生综合测评】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj973,"【学业发展诊断建议书】
学号：pjwrqxbj973 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.915）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.915。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjwrqxbj974,"【学业发展诊断建议书】
学号：pjwrqxbj974 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 1.0）。其在【学科竞赛】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【学科竞赛】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学科竞赛】维度的断层，防止其彻底滑向学业违约。"
